Авариийно-сигнальное сообщение;Сообщение БСТО::Источник;Сообщение БСТО::ИН;Сообщение БСТО::Краткое описание неисправности;Работа РУН;Сигнализация СЭИ;Сигнализация СЭИ::Мнемокадр ELEC;Ошибки;Локальная сигнализация;Локальная сигнализация:: Альтернативное название;Локальная сигнализация::Пульт ELEC;Наблюдаемые неисправности
ELEC R GEN DRIVE FAULT;EPGS;2160;IDG DISCONNECT SUCCESFUL;24-20-00-810-975;R DRIVE отображается в виде прямоугольника янтарного цвета;Мнемокадр ELEC;;"Кнопка-табло R DRIVE – надпись ""OFF"" светится белым цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2012;K2 AUX OPEN OR CLOSED;24-20-00-810-898;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2019;K2 DRIVER OUTPUT SHORT;24-20-00-810-901;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2025;GCS OR SENSE\NOT ONLINE;24-20-00-810-902;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2027;GCS FLT CLEAR\NOT ONLINE;24-20-00-810-904;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2034;LOW UNLOADED PMG VOLTS;24-20-00-810-908;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2092;POR/PMG FREQ SENSE FAIL;24-20-00-810-927;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2100;OV / GCU VR FAILURE;24-20-00-810-941;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;24-20-00-810-938;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2102;OV / POR SENSE;24-20-00-810-938;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2103;UV/FDR NEUTRL/GCU GC OPN;24-20-00-810-952;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2104;UV / SOPMG FAULT;24-20-00-810-942;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2105;UV / EXTR FLD COIL SHORT;24-20-00-810-943;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2106;UV / OPEN EXCITER COIL;24-20-00-810-944;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2107;UV/POR SNS/FEDER GC OPEN;24-20-00-810-950;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2108;UV/OPEN FEEDER K1 CLOSED;24-20-00-810-946;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2109;UV / GCU REGULATING LOW;24-20-00-810-945;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2110;OF / PMG SENSE;24-20-00-810-953;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2111;OF/ GCU SERVO VALVE;24-20-00-810-954;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2112;OF / GCU SERVO VALVE (-);24-20-00-810-955;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2113;OF / OVERFREQUENCY 3;24-20-00-810-956;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2115;UF / FREQUENCY SENSE;24-20-00-810-958;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2116;UF / SERVO VALVE FAULT;24-20-00-810-959;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2117;UF / IDG OR FADEC;24-20-00-810-964;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2118;UF/SERVO VALVE COIL OPEN;24-20-00-810-962;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2119;UF / IDG THERMAL DISC;24-20-00-810-960;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2120;UV / POR SENSE GC CLOSED;24-20-00-810-947;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2121;SRD/EXC FLD CURENT SENSE;24-20-00-810-965;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2122;SRD / REAL SRD FAULT;24-20-00-810-966;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;;;;
ELEC R GEN FAULT;EPGS;2130;DP / CURRENT SENSE;24-20-00-810-967;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2131;DP/GEN CT OR CURRENT SNS;24-20-00-810-968;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2133;DP / FAILED FEEDER;24-20-00-810-970;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2134;DP/LINE CT OR CURENT SNS;24-20-00-810-969;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;2234;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2140;PHASE SEQUENCE FAULT;24-20-00-810-973;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2145;SERVO VALVE MODULATION;24-20-00-810-974;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;2245;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2165;FAILED IDG DISCONNECT;24-20-00-810-976;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2170;FIRE SWITCH ACTIVE;24-20-00-810-928;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2190;PH A FEEDER OPEN;24-20-00-810-977;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2192;PH B FEEDER OPEN;24-20-00-810-978;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2193;PH C FEEDER OPEN;24-20-00-810-979;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2240;OV / EXCITER (-) SHORT;24-20-00-810-939;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2241;OV / OPEN POR NEUTRAL;24-20-00-810-940;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2246;UV/IDG NEUTRAL GC CLOSED;24-20-00-810-949;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2247;UV / POR NEURTL GC OPEN;24-20-00-810-951;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2248;UV/POR NEUTRAL GC CLOSD;24-20-00-810-948;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2249;UF/NO SERVO VALVE CURENT;24-20-00-810-963;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2260;UF / SOPMG FAULT;24-20-00-810-957;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN FAULT;EPGS;2262;UF / IDG LOW OIL PRESURE;24-20-00-810-961;R GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN OVRCURRENT;EPGS;2135;OC / CURRENT SENSE;24-20-00-810-971;Загрузка генератора правого двигателя отображается в виде цифр янтарного цвета;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC R GEN OVRCURRENT;EPGS;2136;OC / MAIN BUS FAULT;24-20-00-810-972;Загрузка генератора правого двигателя отображается в виде цифр янтарного цвета;Мнемокадр ELEC;;"Кнопка-табло R GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
ELEC TRU FAULT;EIU1 и EIU2;473;TRU1 FAULT;24-31-00-810-801;Выпрямительное устроийство 1 отображаетcя в виде диода янтарного цвета;Мнемокадр ELEC;;;;;
ELEC TRU FAULT;EIU1 и EIU2;474;TRU2 FAULT;24-31-00-810-802;Выпрямительное устроийство 2 отображаетcя в виде диода янтарного цвета;Мнемокадр ELEC;;;;;
ELEC TRU FAULT;EIU1 и EIU2;475;TRU3 FAULT;24-31-00-810-803;Выпрямительное устроийство 3 отображаетcя в виде диода янтарного цвета;Мнемокадр ELEC;;;;;
ELEC L DC BUS FAULT;;;;24-61-00-810-823;Символ шины L DC белого цвета;Мнемокадр ELEC;;;;;
ELEC L DC BUS FAULT;;;;24-61-00-810-824;Символ шины R DC белого цвета;Мнемокадр ELEC;;;;;
ELEC DC BUS ON BAT;;;;24-32-00-810-833;Значение тока разряда нескольких аккумуляторных батарей более 20 А;Мнемокадр ELEC;;;;;
ELEC BAT 1 OVHT;EIU1 и EIU2;476;BAT1 OVERHEAT;24-32-00-810-801;Аккумуляторная батарея 1 отображается в виде прямоугольника жёлтого цвета и Электропроводка между аккумуляторной батарей 1 и левой аварийной шиной постоянного тока отображается в виде линии жёлтого цвета;Мнемокадр ELEC;;"Кнопка-табло BAT 1 - надпись ""OVHT"" горит желтым цветом ";;Пульт ELEC;
ELEC BAT 2 OVHT;EIU1 и EIU2;477;BAT2 OVERHEAT;24-32-00-810-802;Аккумуляторная батарея 2 отображается в виде прямоугольника жёлтого цвета и Электропроводка между аккумуляторной батарей 2 и правой аварийной шиной постоянного тока отображается в виде линии жёлтого цвета;Мнемокадр ELEC;;"Кнопка-табло BAT 2 - надпись ""OVHT"" горит желтым цветом ";;Пульт ELEC;
ELEC BAT 3 OVHT;EIU1 и EIU2;478;BAT3 OVERHEAT;24-32-00-810-803;Аккумуляторная батарея 3 отображается в виде прямоугольника янтарного цвета и Электропроводка между аккумуляторной батарей 3 и левой аварийной шиной постоянного тока отображается в виде линии янтарного цвета;Мнемокадр ELEC;;"Кнопка-табло BAT 3 - надпись ""OVHT"" горит желтым цветом ";;Пульт ELEC;
ELEC BAT 4 OVHT;EIU1 и EIU2;479;BAT4 OVERHEAT;24-32-00-810-804;Аккумуляторная батарея 4 отображается в виде прямоугольника янтарного цвета и Электропроводка между аккумуляторной батарей 4 и правой аварийной шиной постоянного тока отображается в виде линии янтарного цвета;Мнемокадр ELEC;;"Кнопка-табло BAT 4 - надпись ""OVHT"" горит желтым цветом ";;Пульт ELEC;
ELEC BAT DISCHARGING;;;;24-32-00-810-816;;Мнемокадр ELEC;;;;;
ELEC BAT DISCHARGING;;;;24-32-00-810-822;Напряжение аккумуляторной батареи 2 отображается в виде цифр желтого цвета и Аккумуляторная батарея 2 отображается в виде прямоугольника желтого цвета и Электропроводка между аккумуляторной батарей 2 и правой аварийной шиной постоянного тока отображается в виде линии желтого цвета;Мнемокадр ELEC;;;;;
ELEC BAT DISCHARGING;;;;24-32-00-810-827;Напряжение аккумуляторной батареи 3 отображается в виде цифр желтого цвета и Аккумуляторная батарея 3 отображается в виде прямоугольника желтого цвета и Электропроводка между аккумуляторной батарей 3 и левой аварийной шиной постоянного тока отображается в виде линии желтого цвета;Мнемокадр ELEC;;;;;
ELEC BAT DISCHARGING;;;;24-32-00-810-832;;Мнемокадр ELEC;;;;;
;;;;24-32-00-810-813;Ток аккумуляторной батареи 1 отображается в виде прочерков желтого цвета;Мнемокадр ELEC;;;;;
;;;;24-32-00-810-818;Ток аккумуляторной батареи 2 отображается в виде прочерков желтого цвета;Мнемокадр ELEC;;;;;
;;;;24-32-00-810-823;Ток аккумуляторной батареи 3 отображается в виде прочерков желтого цвета;Мнемокадр ELEC;;;;;
;;;;24-32-00-810-828;Ток аккумуляторной батареи 4 отображается в виде прочерков желтого цвета;Мнемокадр ELEC;;;;;
;;;;24-32-00-810-814;Напряжение аккумуляторной батареи 1 отображается в виде прочерков желтого цвета;Мнемокадр ELEC;;;;;
;;;;24-32-00-810-815;Напряжение аккумуляторной батареи 1 отображается в виде цифр желтого цвета и Аккумуляторная батарея 1 отображается в виде прямоугольника желтого цвета и Электропроводка между аккумуляторной батарей 1 и левой аварийной шиной постоянного тока отображается в виде линии желтого цвета;Мнемокадр ELEC;;"Кнопка-табло BAT 1 - надпись ""OVHT"" горит желтым цветом ";;Пульт ELEC;
;;;;24-32-00-810-816;Напряжение аккумуляторной батареи 1 отображается в виде цифр желтого цвета и Аккумуляторная батарея 1 отображается в виде прямоугольника желтого цвета и Электропроводка между аккумуляторной батарей 1 и левой аварийной шиной постоянного тока отображается в виде линии желтого цвета;Мнемокадр ELEC;;;;;
;;;;24-32-00-810-819;Напряжение аккумуляторной батареи 2 отображается в виде прочерков янтарного цвета;Мнемокадр ELEC;;;;;
;;;;24-32-00-810-820;Напряжение аккумуляторной батареи 2 отображается в виде цифр желтого цвета;Мнемокадр ELEC;;;;;
;;;;24-32-00-810-821;Напряжение аккумуляторной батареи 2 отображается в виде цифр желтого цвета и Аккумуляторная батарея 2 отображается в виде прямоугольника желтого цвета и Электропроводка между аккумуляторной батарей 2 и правой аварийной шиной постоянного тока отображается в виде линии желтого цвета;Мнемокадр ELEC;;"Кнопка-табло BAT 2 - надпись ""OVHT"" горит желтым цветом ";;Пульт ELEC;
;;;;24-32-00-810-824;Напряжение аккумуляторной батареи 3 отображается в виде прочерков янтарного цвета;Мнемокадр ELEC;;;;;
;;;;24-32-00-810-825;Напряжение аккумуляторной батареи 3 отображается в виде цифр желтого цвета;Мнемокадр ELEC;;;;;
;;;;24-32-00-810-826;Напряжение аккумуляторной батареи 3 отображается в виде цифр желтого цвета и Аккумуляторная батарея 3 отображается в виде прямоугольника желтого цвета и Электропроводка между аккумуляторной батарей 3 и левой аварийной шиной постоянного тока отображается в виде линии желтого цвета;Мнемокадр ELEC;;"Кнопка-табло BAT 3 - надпись ""OVHT"" горит желтым цветом ";;Пульт ELEC;
;;;;24-32-00-810-829;Напряжение аккумуляторной батареи 4 отображается в виде прочерков янтарного цвета;Мнемокадр ELEC;;;;;
;;;;24-32-00-810-830;Напряжение аккумуляторной батареи 4 отображается в виде цифр желтого цвета;Мнемокадр ELEC;;;;;
;;;;24-32-00-810-831;Напряжение аккумуляторной батареи 4 отображается в виде цифр желтого цвета и Аккумуляторная батарея 4 отображается в виде прямоугольника желтого цвета и Электропроводка между аккумуляторной батарей 4 и правой аварийной шиной постоянного тока отображается в виде линии желтого цвета;Мнемокадр ELEC;;"Кнопка-табло BAT 4 - надпись ""OVHT"" горит желтым цветом ";;Пульт ELEC;
;EPGS;28;AGCS SWITCH OR SENSE;24-23-00-810-928;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
;EPGS;188;AGEN PH B FEEDER OPEN;24-23-00-810-877;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
;EPGS;189;AGEN PH C FEEDER OPEN;24-23-00-810-878;APU GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло APU GEN — надпись ""FAULT"" горит янтарным цветом ";;Пульт ELEC;
;EPGS;1119;UF / IDG THERMAL DISC;24-20-00-810-863;L GEN отображается в виде окружности желтого цвета c символом «~» внутри;Мнемокадр ELEC;;"Кнопка-табло L GEN – надпись ""FAULT"" светится янтарным цветом ";;Пульт ELEC;
;EPGS;201;EP OV / BAD GND POWER;24-23-00-810-884;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри и Значение напряжения EXT PWR отображается в виде цифр желтого цвета;Мнемокадр ELEC;;;;;
;EPGS;204;EP OV / INTRLK HOT WIRE;24-23-00-810-882;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри и Значение напряжения EXT PWR отображается в виде цифр желтого цвета;Мнемокадр ELEC;;;;;
;EPGS;205;EP OV / PIN F SENSE;24-23-00-810-880;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри и Значение напряжения EXT PWR отображается в виде цифр желтого цвета;Мнемокадр ELEC;;;;;
;EPGS;206;EP OV / PIN F OR SENSE;24-23-00-810-879;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри и Значение напряжения EXT PWR отображается в виде цифр желтого цвета;Мнемокадр ELEC;;;;;
;EPGS;207;EP UV / BAD GND POWER;24-23-00-810-888;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри и Значение напряжения EXT PWR отображается в виде цифр желтого цвета;Мнемокадр ELEC;;;;;
;EPGS;210;EP OF / BAD GND POWER;24-23-00-810-892;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри и Значение напряжения EXT PWR отображается в виде цифр желтого цвета;Мнемокадр ELEC;;;;;
;EPGS;213;EP OF / INTRLK HOT WIRE;24-23-00-810-891;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри и Значение напряжения EXT PWR отображается в виде цифр желтого цвета;Мнемокадр ELEC;;;;;
;EPGS;215;EP OV / POR SENSE;24-23-00-810-881;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри и Значение напряжения EXT PWR отображается в виде цифр желтого цвета;Мнемокадр ELEC;;;;;
;EPGS;216;EP UV / INTRLK HOT WIRE;24-23-00-810-887;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри и Значение напряжения EXT PWR отображается в виде цифр желтого цвета;Мнемокадр ELEC;;;;;
;EPGS;219;EP UV / PIN F OR SENSE;24-23-00-810-885;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри и Значение напряжения EXT PWR отображается в виде цифр желтого цвета;Мнемокадр ELEC;;;;;
;EPGS;220;EP UF / BAD GND POWER;24-23-00-810-896;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри и Значение напряжения EXT PWR отображается в виде цифр желтого цвета;Мнемокадр ELEC;;;;;
;EPGS;223;EP UF / INTRLCK HOT WIRE;24-23-00-810-895;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри и Значение напряжения EXT PWR отображается в виде цифр желтого цвета;Мнемокадр ELEC;;;;;
;EPGS;224;EP OF / PIN F OR SENSE;24-23-00-810-889;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри и Значение напряжения EXT PWR отображается в виде цифр желтого цвета;Мнемокадр ELEC;;;;;
;EPGS;225;EP OF / PIN F SENSE;24-23-00-810-890;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри и Значение напряжения EXT PWR отображается в виде цифр желтого цвета;Мнемокадр ELEC;;;;;
;EPGS;233;EP UV / PIN F SENSE;24-23-00-810-886;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри и Значение напряжения EXT PWR отображается в виде цифр желтого цвета;Мнемокадр ELEC;;;;;
;EPGS;235;EP UF / PIN F OR SENSE;24-23-00-810-893;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри и Значение напряжения EXT PWR отображается в виде цифр желтого цвета;Мнемокадр ELEC;;;;;
;EPGS;236;EP UF / PIN F SENSE;24-23-00-810-894;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри и Значение напряжения EXT PWR отображается в виде цифр желтого цвета;Мнемокадр ELEC;;;;;
;EPGS;417;EP OV / LOAD IMBALANCE;24-23-00-810-883;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри и Значение напряжения EXT PWR отображается в виде цифр желтого цвета;Мнемокадр ELEC;;;;;
;EPGS;227;EP OPEN FEEDER PHA;24-23-00-810-899;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри;Мнемокадр ELEC;;;;;
;EPGS;228;EP OPEN FEEDER PHB;24-23-00-810-900;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри;Мнемокадр ELEC;;;;;
;EPGS;229;EP OPEN FEEDER PHC;24-23-00-810-901;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри;Мнемокадр ELEC;;;;;
;EPGS;232;EP INTRLK / INTRLK FAULT;24-23-00-810-898;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри;Мнемокадр ELEC;;;;;
;EPGS;240;EP OC / CURRENT SENSE;24-23-00-810-905;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри;Мнемокадр ELEC;;;;;
;EPGS;244;EP OC / OVERCURRENT;24-23-00-810-906;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри;Мнемокадр ELEC;;;;;
;EPGS;246;EP PH SEQ / BAD GND POWER;24-23-00-810-910;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри;Мнемокадр ELEC;;;;;
;EPGS;249;EP PHSEQ INTRLK HOT WIRE;24-23-00-810-909;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри;Мнемокадр ELEC;;;;;
;EPGS;280;EP OC / PIN F OR SENSE;24-23-00-810-902;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри;Мнемокадр ELEC;;;;;
;EPGS;281;EP OC / PIN F SENSE;24-23-00-810-903;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри;Мнемокадр ELEC;;;;;
;EPGS;282;EP OC / HOT WIRE GND CRT;24-23-00-810-904;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри;Мнемокадр ELEC;;;;;
;EPGS;285;EP INTRLK / HOT WIRE;24-23-00-810-897;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри;Мнемокадр ELEC;;;;;
;EPGS;286;EP PH SEQ / PIN F OR SENSE;24-23-00-810-907;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри;Мнемокадр ELEC;;;;;
;EPGS;287;EP PH SEQ / PIN F SENSE;24-23-00-810-908;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри;Мнемокадр ELEC;;;;;
;EPGS;412;EP K41/K42 DRVR PTC TRIP;24-23-00-810-911;EXT PWR отображается в виде квадрата желтого цвета с символом «~» внутри;Мнемокадр ELEC;;;;;
